, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
807,0.2,0.2,0.78,0.08,0.17,0.16,0.0,0.21,0.0,0.01,0.16,0.53,0.0,0.04,0.28,0.41,0.0
808,0.48,0.59,0.74,0.08,0.1,0.2,0.0,0.45,0.0,0.04,0.22,0.51,0.0,0.02,0.55,0.5,0.27
809,0.59,0.67,0.62,0.08,0.0,0.22,0.0,0.64,0.0,0.07,0.21,0.34,0.18,0.0,0.83,0.76,0.46
810,0.32,0.24,0.84,0.0,0.0,0.11,0.0,0.54,0.0,0.07,0.17,0.0,0.53,0.0,0.94,0.93,0.58
811,0.18,1.47,1.59,0.51,0.0,0.0,0.0,0.77,0.85,0.35,0.28,1.42,0.0,0.0,0.28,1.06,0.0
812,0.06,0.54,1.17,0.17,0.0,0.19,0.0,0.61,0.81,0.35,1.08,2.2,0.0,0.6,0.34,2.49,0.0
813,0.0,0.25,1.06,0.0,0.0,0.36,0.0,0.49,0.87,0.67,1.43,2.42,0.0,0.91,0.25,3.42,0.0
814,0.0,0.2,1.08,0.0,0.0,0.17,0.04,0.3,0.84,0.79,1.5,2.87,0.0,0.89,0.0,3.73,0.0
815,0.0,0.2,1.29,0.0,0.0,0.36,0.12,0.26,0.89,1.02,1.28,3.1,0.0,0.77,0.0,3.94,0.0
816,0.0,0.0,1.29,0.0,0.0,0.63,0.19,0.32,0.98,1.09,1.59,3.73,0.02,0.65,0.07,3.8,0.0
817,0.1,0.0,1.2,0.03,0.0,0.63,0.15,0.32,0.92,1.17,1.2,3.45,0.02,0.47,0.07,4.0,0.0
818,0.38,0.01,0.98,0.03,0.0,0.45,0.07,0.19,0.8,1.09,0.83,2.96,0.02,0.64,0.07,3.93,0.0
819,0.51,0.01,0.81,0.42,0.0,0.01,0.0,0.0,0.59,0.84,0.07,2.5,0.0,0.51,0.0,3.98,0.0
820,0.6,0.01,0.89,0.42,0.0,0.01,0.12,0.0,0.56,0.79,0.07,2.16,0.0,0.45,0.09,3.7,0.0
821,0.31,0.33,1.06,0.42,0.0,0.0,0.12,0.25,0.56,0.51,0.07,1.95,0.0,0.13,0.09,2.67,0.0
822,0.29,0.33,0.88,0.14,0.0,0.0,0.12,0.25,0.37,0.25,0.08,1.39,0.0,0.13,0.09,2.16,0.0
823,0.12,0.33,0.66,0.18,0.0,0.0,0.0,0.33,0.35,0.0,0.07,0.9,0.02,0.06,0.09,1.26,0.0
824,0.23,0.05,0.44,0.18,0.0,0.0,0.0,0.21,0.32,0.0,0.07,0.39,0.02,0.12,0.09,1.45,0.0
825,0.16,0.05,0.69,0.08,0.0,0.0,0.0,0.37,0.59,0.2,0.21,0.43,0.02,0.07,0.68,1.0,0.0
